Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,IGN_title,IGN_year,IGN_score,IGN_source,GS_title,GS_year,GS_review,GS_metacritic,GS_user,GS_source,Gs_source
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,Nintendo,E,Wii Sports,2006,7.5,https://ca.ign.com/games/wii-sports/wii-826987,Wii Sports,2006,7.8,76,8.1,https://www.gamespot.com/wii-sports/,
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,,,,,,,,,,,Super Mario Bros.,1985,6.8,,8.9,https://www.gamespot.com/classic-nes-series-super-mario-bros/,
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,Nintendo,E,Mario Kart Wii,2008,8.9,https://ca.ign.com/games/mario-kart-wii/wii-949580,Mario Kart Wii,2008,8.5,82,8.7,https://www.gamespot.com/mario-kart-wii/,
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,Nintendo,E,,,,,Wii Sports Resort,2009,8,80,8.3,https://www.gamespot.com/wii-sports-resort/,
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,,,,,,,,,,,,,,,,,
Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,,,,,,,Tetris,,6,https://ca.ign.com/articles/2003/03/31/tetris-2,Tetris,1988,,,8.7,https://www.gamespot.com/tetris/,
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,Nintendo,E,New Super Mario Bros.,2006,9.5,https://ca.ign.com/games/new-super-mario-bros/nds-682879,New Super Mario Bros.,2006,9,89,9,https://www.gamespot.com/new-super-mario-bros/,
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,Nintendo,E,,,,,Wii Play,2007,5.4,58,6.3,https://www.gamespot.com/wii-play/,
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,Nintendo,E,New Super Mario Bros. Wii,2009,9.2,https://ca.ign.com/games/new-super-mario-bros-wii/wii-14354229,New Super Mario Bros. Wii,2009,8.5,87,8.7,https://www.gamespot.com/new-super-mario-bros-wii/,
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,,,,,,,Duck Hunt,1985,9.5,https://ca.ign.com/games/duck-hunt/nes-7158,Duck Hunt,1984,,,8.3,https://www.gamespot.com/duck-hunt/,
Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,,,,,,,,,,,Nintendogs,2005,9.1,83,8.5,https://www.gamespot.com/nintendogs-chihuahua-and-friends/,
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,Nintendo,E,Mario Kart DS,2005,9.5,https://ca.ign.com/games/mario-kart-ds/nds-682877,Mario Kart DS,2005,9.2,91,9.2,https://www.gamespot.com/mario-kart-ds/,
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,,,,,,,,,,,,,,,,,
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,Nintendo,E,Wii Fit,2008,8,https://ca.ign.com/games/wii-fit/wii-949581,Wii Fit,2008,7,80,7.8,https://www.gamespot.com/wii-fit/,
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Good Science Studio,E,,,,,Kinect Adventures!,2010,7,61,7.2,https://www.gamespot.com/kinect-adventures/,
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,Nintendo,E,Wii Fit Plus,2009,8.2,https://ca.ign.com/games/wii-fit-plus/wii-887115,Wii Fit Plus,2009,7.5,80,8,https://www.gamespot.com/wii-fit-plus/,
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M,Grand Theft Auto V,2013,10,https://ca.ign.com/games/grand-theft-auto-v/xbox-360-20587,Grand Theft Auto V,2013,9,96,9,https://www.gamespot.com/grand-theft-auto-v/,
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,Rockstar North,M,,,,,Grand Theft Auto: San Andreas,2004,9.6,95,9.1,https://www.gamespot.com/grand-theft-auto-san-andreas/,
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,,,,,,,Super Mario World,1990,8.5,https://ca.ign.com/games/super-mario-world/snes-6885,Super Mario World,1991,8.5,,9.3,https://www.gamespot.com/super-mario-world/,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,Nintendo,E,Brain Age: Train Your Brain in Minutes a Day,,8,https://ca.ign.com/articles/2006/04/18/brain-age-train-your-brain-in-minutes-a-day,Brain Age: Train Your Brain in Minutes a Day!,2006,7.2,77,7.9,https://www.gamespot.com/brain-age-train-your-brain-in-minutes-a-day/,
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,,,,,,,,,,,,,,,,,
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,,,,,,,,,,,Super Mario Land,1989,,,8.1,https://www.gamespot.com/super-mario-land/,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,,,,,,,,,,,Super Mario Bros. 3,1990,9,,9.3,https://www.gamespot.com/super-mario-bros-3/,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M,Grand Theft Auto V,2013,10,https://ca.ign.com/games/grand-theft-auto-v/xbox-360-20587,Grand Theft Auto V,2013,9,96,9,https://www.gamespot.com/grand-theft-auto-v/,
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,Rockstar North,M,,,,,Grand Theft Auto: Vice City,2002,9.6,95,9,https://www.gamespot.com/grand-theft-auto-vice-city/,
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,,,,,,,,,,,,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,Nintendo,E,Brain Age 2: More Training in Minutes a Day,2007,8,https://ca.ign.com/games/brain-age-2-more-training-in-minutes-a-day/nds-774696,Brain Age 2: More Training in Minutes a Day,2007,7,77,7.6,https://www.gamespot.com/brain-age-2-more-training-in-minutes-a-day/,
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,,,,,,,,,,,,,,,,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,E,Gran Turismo 3 A-spec,,9,https://ca.ign.com/articles/2001/08/07/gran-turismo-3-a-spec,Gran Turismo 3: A-Spec,2001,9.4,95,8.9,https://www.gamespot.com/gran-turismo-3-a-spec/,
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,,,,,Call of Duty: Modern Warfare 3,2011,8.5,78,7.2,https://www.gamespot.com/call-of-duty-modern-warfare-3/,
Pokemon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,,Pokemon Yellow: Special Pikachu Edition,1999,10,https://ca.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045,,,,,,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,,,,,,,,,,,Call of Duty: Black Ops 3,2015,8,73,6.1,https://www.gamespot.com/call-of-duty-black-ops-iii/,
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,Call of Duty: Black Ops,2010,8.5,https://ca.ign.com/games/call-of-duty-black-ops/ps3-14349500,,,,,,,
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,,,,,,,,,,,,,,,,,
